NKU10-SHAP-12000000-01;Щит аварийного переключения ЩАП-12 однофазный номинальный ток 10А IEK;BLS10-ADDS-230-K04;Лампа AD22DS(LED)матрица d22мм красный 230В AC/DC IEK;1
NKU10-SHAP-12000000-01;Щит аварийного переключения ЩАП-12 однофазный номинальный ток 10А IEK;RRP10-4-10-220A;Реле РЭК77/4(LY4) 10А 220В AC IEK;1
NKU10-SHAP-12000000-01;Щит аварийного переключения ЩАП-12 однофазный номинальный ток 10А IEK;YKM40-321-31;Корпус металлический ЩМП-3.2.1-0 (300х210х150мм) УХЛ3 IP31 IEK;1
NKU10-SHAP-12000000-01;Щит аварийного переключения ЩАП-12 однофазный номинальный ток 10А IEK;MVA20-1-010-C;KARAT Автоматический выключатель ВА47-29 1P C 10А 4,5кА IEK;2
NKU10-SHAP-12000000-01;Щит аварийного переключения ЩАП-12 однофазный номинальный ток 10А IEK;BLS10-ADDS-230-K06;Лампа AD22DS(LED)матрица d22мм зеленый 230В AC/DC IEK;1
NKU10-SHAP-12000000-01;Щит аварийного переключения ЩАП-12 однофазный номинальный ток 10А IEK;RRP10D-RRM-4;Разъем РРМ77/4(PTF14A) для РЭК77/4(LY4) модульный IEK;1
